DIST_FRM_ORG,ORG,DEALER,DEALER_LINK,STREET,LOCALITY,REGION,POSTAL_CODE,TEL_TYPE,TEL_LINK,zip_from
0.70 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10019
3.55 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10019
8.56 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10019
11.39 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10019
12.22 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10019
12.94 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10019
15.89 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10019
17.24 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10019
17.93 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10019
18.43 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10019
20.58 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10019
